scenario,target_adapt_n,target_adapt_treatment_rate,target_adapt_visit_rate,target_adapt_control_events,target_adapt_treated_events,target_infer_n,target_infer_treatment_rate,target_infer_visit_rate,propensity_mean,propensity_p001,propensity_p999,calibration_in_large_abs,max_20bin_calibration_gap,max_weighted_abs_smd,benchmark_corr_min_eigenvalue,benchmark_gaussian_critical
null_ess1.0,1748606,0.8494343757629395,0.047012876719236374,9996,72211,5242952,0.8500827396474353,0.04698860489281611,0.8494292809696652,0.8407010594010353,0.8940717962980259,0.0006534586777701135,0.0037281614878539315,0.0033089871238938,0.04822203878559606,2.5462819995033645
pc1_ess0.8,1747007,0.8483898639678955,0.021804148331284523,4925,33167,5240233,0.8486578745639746,0.021740636341933652,0.8484022824920413,0.8434337973594666,0.8750874261856079,0.00025559207193326383,0.0026811651602598463,0.004200442009284885,0.03631699589018712,2.5114359864339884
pc1_ess0.5,1747089,0.8479773998260498,0.00923021137714386,2063,14063,5240466,0.84816407548489,0.009232957527059616,0.8480782663311239,0.8390177488327026,0.8602618020772934,8.580915376610321e-05,0.0016443524636486906,0.00462121950366033,0.05334297408189648,2.5900120327553227
