scenario,bin,n,predicted_rate,observed_rate,abs_gap
null_ess1.0,1,262148,0.8427489038291303,0.8453507179150709,0.0026018140859406236
null_ess1.0,2,262148,0.8435620853810489,0.846044982223782,0.002482896842733062
null_ess1.0,3,262148,0.8442892756856557,0.8456787768741322,0.0013895011884764719
null_ess1.0,4,262148,0.8452426178942253,0.8455567084242489,0.0003140905300236252
null_ess1.0,5,262148,0.8458302730292053,0.8478187893861483,0.001988516356942971
null_ess1.0,6,262148,0.8459082201732817,0.8471626714680257,0.0012544512947439967
null_ess1.0,7,262148,0.8460619510825812,0.8478836382501488,0.0018216871675675872
null_ess1.0,8,262148,0.8464496819279731,0.8501190167386362,0.0036693348106631163
null_ess1.0,9,262148,0.8467139342316706,0.8492263911988648,0.0025124569671941543
null_ess1.0,10,262148,0.8470950643901526,0.8498634359216931,0.0027683715315405255
null_ess1.0,11,262148,0.8475242995432485,0.848497795138624,0.0009734955953755176
null_ess1.0,12,262148,0.8480239859272068,0.8492759815066299,0.0012519955794230153
null_ess1.0,13,262147,0.8485252106949648,0.8480890492738807,0.000436161421084047
null_ess1.0,14,262147,0.8490751656480909,0.8488405360351253,0.00023462961296560891
null_ess1.0,15,262147,0.8499101574139162,0.8488252774206838,0.0010848799932323683
null_ess1.0,16,262147,0.8509277083258238,0.8488290920742942,0.002098616251529517
null_ess1.0,17,262147,0.8524275553393953,0.8486993938515414,0.0037281614878539315
null_ess1.0,18,262147,0.8552554851742048,0.8527085947960495,0.002546890378155253
null_ess1.0,19,262147,0.8605074988844228,0.8574807264626335,0.003026772421789281
null_ess1.0,20,262147,0.872506711521582,0.8757033267594136,0.003196615237831657
pc1_ess0.8,1,262012,0.8437051181558681,0.8454841762972688,0.001779058141400669
pc1_ess0.8,2,262012,0.8442254036600356,0.8458353052531945,0.00160990159315888
pc1_ess0.8,3,262012,0.8447780131371464,0.8454078439155458,0.0006298307783993984
pc1_ess0.8,4,262012,0.8455094163874394,0.8450414484832756,0.00046796790416381295
pc1_ess0.8,5,262012,0.8464229763418168,0.8462207837808955,0.00020219256092135485
pc1_ess0.8,6,262012,0.8471018930673127,0.8489038669984581,0.0018019739311454508
pc1_ess0.8,7,262012,0.8472575047901145,0.847361952887654,0.00010444809753951123
pc1_ess0.8,8,262012,0.8473979781142624,0.847900096178801,0.0005021180645385925
pc1_ess0.8,9,262012,0.8475089783451712,0.8493733111460544,0.0018643328008831617
pc1_ess0.8,10,262012,0.8477423276546983,0.8498084057218753,0.0020660780671770684
pc1_ess0.8,11,262012,0.8479407705415408,0.8484458727081202,0.0005051021665793964
pc1_ess0.8,12,262012,0.8482020733759694,0.8491901134299192,0.0009880400539498124
pc1_ess0.8,13,262012,0.8484615827416881,0.8486328870433415,0.0001713043016533522
pc1_ess0.8,14,262011,0.8487426749251631,0.848655209132441,8.746579272211896e-05
pc1_ess0.8,15,262011,0.8490920322301473,0.8485941429939964,0.0004978892361509057
pc1_ess0.8,16,262011,0.8495584708730513,0.8491551881409559,0.0004032827320953336
pc1_ess0.8,17,262011,0.8501761294084259,0.8501093465541523,6.678285427363928e-05
pc1_ess0.8,18,262011,0.8510463101350891,0.8483651449748293,0.0026811651602598463
pc1_ess0.8,19,262011,0.8530133688752557,0.8510177053635153,0.0019956635117404087
pc1_ess0.8,20,262011,0.8601627147702158,0.859654747319769,0.000507967450446789
pc1_ess0.5,1,262024,0.8440758869037375,0.8457202393673862,0.0016443524636486906
pc1_ess0.5,2,262024,0.844755353476078,0.8453653100479346,0.0006099565718565847
pc1_ess0.5,3,262024,0.8451412695907613,0.845502702042561,0.0003614324517996481
pc1_ess0.5,4,262024,0.8458853654739268,0.8446325527432602,0.0012528127306665748
pc1_ess0.5,5,262024,0.8466767217767507,0.8457927518089946,0.0008839699677560819
pc1_ess0.5,6,262024,0.8476980766411433,0.8467544957713797,0.0009435808697635384
pc1_ess0.5,7,262023,0.848053548547384,0.8496162550615786,0.001562706514194545
pc1_ess0.5,8,262023,0.8481884471753398,0.8483415578021777,0.00015311062683787124
pc1_ess0.5,9,262023,0.848271079240221,0.8484903996977364,0.00021932045751538176
pc1_ess0.5,10,262023,0.848366188877104,0.8495628246375319,0.0011966357604278333
pc1_ess0.5,11,262023,0.8484213033064437,0.8492422420932514,0.0008209387868076679
pc1_ess0.5,12,262023,0.8485395419176471,0.8485705453338066,3.1003416159469666e-05
pc1_ess0.5,13,262023,0.8486465300707687,0.8485858111692485,6.071890152026249e-05
pc1_ess0.5,14,262023,0.8487765270300986,0.8487461024413887,3.0424588709943023e-05
pc1_ess0.5,15,262023,0.8489206566252939,0.8499979009476267,0.0010772443223328043
pc1_ess0.5,16,262023,0.8490903138869158,0.8491926281280651,0.00010231424114925947
pc1_ess0.5,17,262023,0.8493013210580124,0.8487575518179702,0.0005437692400421801
pc1_ess0.5,18,262023,0.8496064352057353,0.8494903119191827,0.00011612328655263848
pc1_ess0.5,19,262023,0.8501140724212145,0.8491926281280651,0.0009214442931494427
pc1_ess0.5,20,262023,0.8530367417325374,0.851726756811425,0.0013099849211124504
