scenario,budget,model,score_cut,tie_u_cut,train_policy_rate,source_select_policy_rate,select_abs_budget_deviation,threshold_tie_count_train,threshold_tie_fraction_train,tie_fraction_selected,source_select_ipw_gain,source_select_ipw_se
null_ess1.0,0.1,S-Logit,0.011426965549956813,1.0,0.10000004771267806,0.09997088046179152,2.9119538208485785e-05,1,4.771267806967865e-07,1.0,0.008866188826786756,0.0003402268761514753
null_ess1.0,0.3,S-Logit,0.0025302729833984808,1.0,0.3000001431380342,0.3000793453756099,7.934537560988497e-05,1,4.771267806967865e-07,1.0,0.009639735744364322,0.0004152621213751846
null_ess1.0,0.5,S-Logit,0.0011945270850943655,1.0,0.5000002385633904,0.4999495595222679,5.044047773211657e-05,1,4.771267806967865e-07,1.0,0.009795455200024658,0.000429669772982493
null_ess1.0,0.1,T-Logit,0.011418200036383717,1.0,0.10000004771267806,0.09987715418401974,0.0001228458159802659,1,4.771267806967865e-07,1.0,0.00898711690856983,0.000323149510889666
null_ess1.0,0.3,T-Logit,0.002777089538112114,1.0,0.3000001431380342,0.2999584313226066,4.156867739341097e-05,1,4.771267806967865e-07,1.0,0.009819023550070548,0.00040078269131703316
null_ess1.0,0.5,T-Logit,0.0014163271005074906,1.0,0.5000002385633904,0.4995281490061795,0.00047185099382052176,1,4.771267806967865e-07,1.0,0.010033102729654037,0.0004152029387014022
null_ess1.0,0.1,S-HGB,0.01146331265524949,1.0,0.10000004771267806,0.0997641102764782,0.00023588972352180104,1,4.771267806967865e-07,1.0,0.009164160109509779,0.00033199382121263695
null_ess1.0,0.3,S-HGB,0.000825287113878798,0.6872846236336763,0.3000001431380342,0.3009915667814039,0.0009915667814038853,2208,0.0010534959317785044,0.6820652173913043,0.010163289806097995,0.00043049037565718424
null_ess1.0,0.5,S-HGB,0.00022215699148451454,0.41478698806468917,0.5000002385633904,0.5003831329904335,0.0003831329904334657,350,0.00016699437324387524,0.44857142857142857,0.010301613574819703,0.00044477960821730716
null_ess1.0,0.1,T-HGB,0.019297027962425092,1.0,0.10000004771267806,0.09993582254109826,6.417745890174853e-05,1,4.771267806967865e-07,1.0,0.008466649178389784,0.00034933381263843903
null_ess1.0,0.3,T-HGB,0.0015367938019453077,0.14829141937792878,0.3000001431380342,0.30052365086031424,0.0005236508603142509,129,6.154935470988545e-05,0.14728682170542637,0.009219994653070877,0.00040725737769794855
null_ess1.0,0.5,T-HGB,0.0003837540081295049,0.1200328508141385,0.5000002385633904,0.5005519833839766,0.0005519833839765509,1270,0.0006059510114849188,0.115748031496063,0.009348217700344342,0.0004133880628951282
null_ess1.0,0.1,TO-HGB,0.014491625946759004,0.11869180951285452,0.10000004771267806,0.10003598802879328,3.598802879327401e-05,47,2.242495869274896e-05,0.1702127659574468,0.009220555804262443,0.0003347135539213881
null_ess1.0,0.3,TO-HGB,0.0015306972737209963,0.4151610095702045,0.3000001431380342,0.2998868845456815,0.0001131154543184687,127870,0.06101020144769808,0.41580511456948466,0.010356325815997654,0.00037617220349849066
null_ess1.0,0.5,TO-HGB,0.0011181213405394783,0.13991606642070897,0.5000002385633904,0.49984796309903434,0.00015203690096565747,1111514,0.5303330965194079,0.13952050986312364,0.010461822240012587,0.0003949591304801575
null_ess1.0,0.1,DR-HGB,0.01410549195929796,0.9072678591947401,0.10000004771267806,0.09995370923532951,4.6290764670497975e-05,165,7.872591881496976e-05,0.9030303030303031,0.00890799459055863,0.0003328419956306752
null_ess1.0,0.3,DR-HGB,0.001855438026589945,0.06264569997923675,0.3000001431380342,0.30054368395785325,0.0005436839578532582,51529,0.024585865882524708,0.06235323798249529,0.009643663802705305,0.00043219475972537723
null_ess1.0,0.5,DR-HGB,0.000767516045285436,0.4030714099639777,0.5000002385633904,0.5002479095820452,0.00024790958204523594,263099,0.1255315788745438,0.4036085275884743,0.00984203074892487,0.0004438999821203939
