scenario,budget,source_winner,competitor,contrast,delta_hat,se_hat,lower_95_one_sided_family,upper_95_one_sided_family,gaussian_critical,oracle_ratio_delta_hat,oracle_ratio_se_hat,oracle_ratio_upper_95_one_sided_family,oracle_ratio_critical
null_ess1.0,0.1,TO-HGB,S-Logit,q=0.1:S-Logit-TO-HGB,-2.695971054493281e-05,0.00010654470882344514,-0.00029985583972125056,0.00024593641863138497,2.5613297196065643,-2.58546580305463e-05,0.00010667062532970476,0.00024611748136442983,2.549644183244884
null_ess1.0,0.1,TO-HGB,T-Logit,q=0.1:T-Logit-TO-HGB,4.582951931267366e-05,9.698319633713499e-05,-0.0002025764237680687,0.000294235462393416,2.5613297196065643,4.622739207768297e-05,9.714950271830019e-05,0.00029392405658853007,2.549644183244884
null_ess1.0,0.1,TO-HGB,S-HGB,q=0.1:S-HGB-TO-HGB,0.00021108801168664992,9.382729811896999e-05,-2.9234635495852988e-05,0.00045141065886915283,2.5613297196065643,0.00021233186713547438,9.398106194053477e-05,0.000451950135047336,2.549644183244884
null_ess1.0,0.1,TO-HGB,T-HGB,q=0.1:T-HGB-TO-HGB,-0.0001329117099516941,0.0001236398653909767,-0.0004495941717057578,0.00018377075180236958,2.5613297196065643,-0.0001302385922091118,0.00012359917392137365,0.00018489532263339127,2.549644183244884
null_ess1.0,0.1,TO-HGB,DR-HGB,q=0.1:DR-HGB-TO-HGB,8.544118879484194e-05,9.929382371147446e-05,-0.00016888303285073257,0.0003397654104404165,2.5613297196065643,8.603601854790903e-05,9.933103030901886e-05,0.00033929480219102023,2.549644183244884
null_ess1.0,0.3,TO-HGB,S-Logit,q=0.3:S-Logit-TO-HGB,0.00010564332624496151,0.0001410731835604133,-0.0002556916114478373,0.00046697826393776027,2.5613297196065643,0.00010674643354811703,0.00014110771750515549,0.00046652090469609896,2.549644183244884
null_ess1.0,0.3,TO-HGB,T-Logit,q=0.3:T-Logit-TO-HGB,0.0001568158160452083,0.00013673858841837044,-0.00019341679428781384,0.0005070484263782304,2.5613297196065643,0.00015756887230068263,0.00013683044372239756,0.00050643781722831,2.549644183244884
null_ess1.0,0.3,TO-HGB,S-HGB,q=0.3:S-HGB-TO-HGB,0.0002551334513328746,0.00012425501186122403,-6.312460335734468e-05,0.0005733915060230939,2.5613297196065643,0.00025729462196419427,0.0001242679946987186,0.0005741337918112883,2.549644183244884
null_ess1.0,0.3,TO-HGB,T-HGB,q=0.3:T-HGB-TO-HGB,-8.37000910029449e-05,0.0001352148962769219,-0.00043003002337054397,0.00026262984136465417,2.5613297196065643,-8.100350072988275e-05,0.0001351792375314435,0.0002636554559376406,2.549644183244884
null_ess1.0,0.3,TO-HGB,DR-HGB,q=0.3:DR-HGB-TO-HGB,0.0002579835457425668,0.0001272078279066492,-6.783764444133109e-05,0.0005838047359264647,2.5613297196065643,0.0002589685485850945,0.00012713092570394214,0.0005831071738166881,2.549644183244884
null_ess1.0,0.5,TO-HGB,S-Logit,q=0.5:S-Logit-TO-HGB,9.130399922415957e-05,0.00013255378206578414,-0.00024820994222718494,0.0004308179406755041,2.5613297196065643,9.249808669524424e-05,0.00013260582392478888,0.0004305957543294775,2.549644183244884
null_ess1.0,0.5,TO-HGB,T-Logit,q=0.5:T-Logit-TO-HGB,3.381843017642444e-05,0.00012693771002060235,-0.00029131089903814436,0.00035894775939099326,2.5613297196065643,3.4670359560881996e-05,0.00012703876383400787,0.0003585740048168807,2.549644183244884
null_ess1.0,0.5,TO-HGB,S-HGB,q=0.5:S-HGB-TO-HGB,2.7327034059868537e-05,0.00011822065909395353,-0.00027547505354895066,0.00033012912166868774,2.5613297196065643,2.9031518806449082e-05,0.00011824138005497163,0.00033050496568245514,2.549644183244884
null_ess1.0,0.5,TO-HGB,T-HGB,q=0.5:T-HGB-TO-HGB,-0.00024759244472927363,0.0001344524854044803,-0.0005919695914707369,9.678470201218958e-05,2.5613297196065643,-0.00024532729593241685,0.00013441816053920476,9.739118520884354e-05,2.549644183244884
null_ess1.0,0.5,TO-HGB,DR-HGB,q=0.5:DR-HGB-TO-HGB,0.0002164098168367136,0.00012072725856938728,-9.28124985036843e-05,0.0005256321321771115,2.5613297196065643,0.00021734208990868573,0.00012065629043415888,0.0005249726989860442,2.549644183244884
pc1_ess0.8,0.1,TO-HGB,S-Logit,q=0.1:S-Logit-TO-HGB,-0.00011821947421465387,8.756398789945213e-05,-0.0003390603671880378,0.00010262141875873006,2.5220515678999322,-0.00011830947950899173,8.762156549030158e-05,0.00010324954362299649,2.5285901009895966
pc1_ess0.8,0.1,TO-HGB,T-Logit,q=0.1:T-Logit-TO-HGB,-0.0001039925712097685,8.623630619690025e-05,-0.00032148498246355943,0.00011349984004402244,2.5220515678999322,-0.00010319189580979557,8.6305371916315e-05,0.00011503901328002407,2.5285901009895966
