scenario,model,budget,score_cut_hex,tie_u_cut_hex,target_adapt_n,target_adapt_k,target_adapt_rate,threshold_tie_count,tie_selected_count,target_infer_rate,target_infer_abs_budget_deviation
pc1_ess0.8,TO-HGB,0.1,0x1.5171dd7c0f935p-8,0x1.0d44b6ae6b818p-4,1747007,174701,0.10000017172226557,299,19,0.09986292594241515,0.00013707405758485447
pc1_ess0.8,TO-HGB,0.3,0x1.60a05492bfad6p-10,0x1.7e83f9a5a2428p-2,1747007,524102,0.2999999427592448,40773,15149,0.29991815249436427,8.184750563572374e-05
pc1_ess0.8,TO-HGB,0.5,0x1.c28f6c08aed60p-11,0x1.cda7d2e235948p-4,1747007,873504,0.5000002862037759,781881,88134,0.49953732973323894,0.00046267026676105605
pc1_ess0.8,DR-HGB,0.1,0x1.38b4721f53d02p-8,0x1.486302c60efc8p-3,1747007,174701,0.10000017172226557,8,4,0.10009497669283027,9.4976692830262e-05
pc1_ess0.8,DR-HGB,0.3,0x1.f1340e9fe7b16p-10,0x1.8de2ccda12e79p-1,1747007,524102,0.2999999427592448,40320,31329,0.3002259632348409,0.00022596323484092018
pc1_ess0.8,DR-HGB,0.5,0x1.b15b2e0223102p-10,0x1.b15b1e4bb1d2bp-1,1747007,873504,0.5000002862037759,55973,47407,0.4996518284587727,0.00034817154122729344
pc1_ess0.5,S-Logit,0.1,0x1.d4d06cfd4e108p-9,0x1.0000000000000p+0,1747089,174709,0.10000005723806858,1,1,0.1003485186241071,0.00034851862410709145
pc1_ess0.5,S-Logit,0.3,0x1.6a6dc8d61b5b0p-10,0x1.0000000000000p+0,1747089,524127,0.30000017171420573,1,1,0.3001034640812477,0.00010346408124772832
pc1_ess0.5,S-Logit,0.5,0x1.3fe4838b2ce48p-11,0x1.0000000000000p+0,1747089,873544,0.4999997138096571,2,2,0.49956778652890793,0.00043221347109206887
pc1_ess0.5,T-Logit,0.1,0x1.1827479800160p-8,0x1.0000000000000p+0,1747089,174709,0.10000005723806858,1,1,0.10039488854617128,0.0003948885461712709
pc1_ess0.5,T-Logit,0.3,0x1.ff3f959b10040p-10,0x1.0000000000000p+0,1747089,524127,0.30000017171420573,1,1,0.29997313216038424,2.6867839615751787e-05
pc1_ess0.5,T-Logit,0.5,0x1.1734cb8d2ff38p-10,0x1.0000000000000p+0,1747089,873544,0.4999997138096571,1,1,0.4994231429037036,0.0005768570962964015
pc1_ess0.5,S-HGB,0.1,0x1.b978d6340f9c8p-10,0x1.9ddee458c0b7ap-2,1747089,174709,0.10000005723806858,2,1,0.09967510522919144,0.000324894770808562
pc1_ess0.5,S-HGB,0.3,0x1.05f64d577b1c0p-11,0x1.f56be6d696e94p-3,1747089,524127,0.30000017171420573,416,101,0.29950466237162876,0.0004953376283712285
pc1_ess0.5,S-HGB,0.5,0x1.6717358b54684p-13,0x1.9da4032affc5dp-1,1747089,873544,0.4999997138096571,10808,8706,0.49964735960504275,0.00035264039495724875
pc1_ess0.5,T-HGB,0.1,0x1.62ece46689b5dp-9,0x1.cbc0b3478814cp-2,1747089,174709,0.10000005723806858,34,11,0.09981345170448583,0.0001865482955141773
pc1_ess0.5,T-HGB,0.3,0x1.1ae4cff3f4b35p-11,0x1.22ee95fca9b5ap-2,1747089,524127,0.30000017171420573,3136,915,0.29961858353818155,0.00038141646181844013
pc1_ess0.5,T-HGB,0.5,0x1.094b6a3196d00p-12,0x1.a9cf2c846250fp-1,1747089,873544,0.4999997138096571,1901,1585,0.49952237072046646,0.0004776292795335424
pc1_ess0.5,TO-HGB,0.1,0x1.86eb109a6415fp-9,0x1.4249615b28b26p-2,1747089,174709,0.10000005723806858,3851,1254,0.09994855419346295,5.144580653705655e-05
pc1_ess0.5,TO-HGB,0.3,0x1.2320b57b9008fp-10,0x1.71172721b6d66p-1,1747089,524127,0.30000017171420573,266209,191802,0.3001723510848081,0.00017235108480812
pc1_ess0.5,TO-HGB,0.5,0x1.d386ea92c2b5dp-12,0x1.9c03acdf6d2a0p-5,1747089,873544,0.4999997138096571,901561,45112,0.4999366468554514,6.335314454858354e-05
pc1_ess0.5,DR-HGB,0.1,0x1.e1e88bc5f0c22p-9,0x1.63b28d5993ff6p-2,1747089,174709,0.10000005723806858,62652,22027,0.10010350224579265,0.00010350224579264156
pc1_ess0.5,DR-HGB,0.3,0x1.5690dc06977f8p-9,0x1.a1eee1e50c1d3p-1,1747089,524127,0.30000017171420573,57864,47402,0.30012903432633664,0.00012903432633665224
pc1_ess0.5,DR-HGB,0.5,0x1.470f87c74a388p-9,0x1.0bbe7d13cb112p-2,1747089,873544,0.4999997138096571,1175335,307493,0.4999152747103025,8.472528969749593e-05
