scenario,domain_fit_n_per_class,source_total,target_total,source_infer_n,target_infer_n,source_infer_visit_events,source_infer_treatment_rate,estimated_ratio_mean_source,estimated_ratio_ess,oracle_ratio_ess_unscaled,ratio_log_rmse_vs_oracle,estimated_ratio_p99,estimated_ratio_p999,estimated_ratio_max,oracle_ratio_p999,propensity_p001_source_infer,propensity_p999_source_infer,covariance_min_corr_eigenvalue,oracle_covariance_min_corr_eigenvalue,gaussian_critical
null_ess1.0,1000000,6988034,6991558,3494468,5242952,164467,0.8501405650302135,1.0000046814386168,0.9999873800830275,1.0,0.0035547426163320467,1.0110130310058594,1.017787829875946,1.0278817415237427,1.0,0.8397136926651001,0.8940267399549482,0.050953668705341626,0.050826090167200966,2.5613297196065643
pc1_ess0.8,1000000,6992352,6987240,3496541,5240233,252435,0.8515512902608606,0.9997493981691444,0.7990983754362754,0.7988017752455975,0.01490051968329438,1.6814844608306885,1.6914086890220643,1.6920589208602905,1.694125111103058,0.8374155497550965,0.898216779232025,0.04713290555463836,0.04712578231768577,2.5220515678999322
pc1_ess0.5,1000000,6992037,6987555,3495468,5240466,296025,0.8520435604045009,1.0006344837149002,0.4987115812482258,0.49881516928488917,0.33945296877325554,3.4040887331962586,3.4889396798610672,3.49554443359375,3.490150130987166,0.8372393132448196,0.8984774862527845,0.07058780414714794,0.07046718869146201,2.6032635291625503
