label,target_ess,beta,intercept,pilot_ess_ratio,pilot_target_share,pilot_p_target_p01,pilot_p_target_p50,pilot_p_target_p99
null_ess1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5
pc1_ess0.8,0.8,0.8762441044347646,-0.07339052317675401,0.8,0.49999999999999994,0.022907190737241356,0.5437532077137694,0.6276999333017775
pc1_ess0.5,0.5,2.5083175101408504,-0.4684088022000057,0.5,0.49999999999999994,1.6668819182184617e-05,0.560686821438769,0.7750378623575832
