label,target_ess_frozen,beta_frozen,intercept_frozen,full_expected_target_share,full_expected_source_to_target_ess,ess_abs_deviation,p_target_min_full,p_target_p001_sample,p_target_p01_sample,p_target_p50_sample,p_target_p99_sample,p_target_p999_sample,p_target_max_full,ratio_p50_sample,ratio_p99_sample,ratio_p999_sample,ratio_max_full,quantile_sample_n
null_ess1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1117245
pc1_ess0.8,0.8,0.8762441044347646,-0.073390523176754,0.49970017826952096,0.7988879721594526,0.0011120278405474249,2.0771643927628047e-10,0.0005382200470194221,0.022026775404810905,0.5438017845153809,0.6277327537536621,0.6288481950759888,0.6289131474117194,1.192029595375061,1.6862423419952393,1.6943153142929077,1.694786929327017,1117245
pc1_ess0.5,0.5,2.5083175101408504,-0.4684088022000057,0.4996930916275154,0.4988062111398647,0.0011937888601353253,1e-12,3.393106906557364e-10,1.4861486306472216e-05,0.5608248710632324,0.7751079797744751,0.777482271194458,0.7776200651776364,1.2769958972930908,3.446578025817871,3.4940237998962402,3.496808584815877,1117245
