scenario,budget,final_source_winner,winner_gain,runner_up,runner_up_gain,winner_minus_runner_up
null_ess1.0,0.1,TO-HGB,0.0069841470562475635,S-HGB,0.006808941502495609,0.00017520555375195434
null_ess1.0,0.3,TO-HGB,0.008023952286156273,S-HGB,0.007680464706150354,0.0003434875800059191
null_ess1.0,0.5,TO-HGB,0.008164721458374633,S-HGB,0.007825476230174573,0.0003392452282000597
pc1_ess0.8,0.1,TO-HGB,0.010466919500183015,S-HGB,0.010326526334239992,0.00014039316594302229
pc1_ess0.8,0.3,TO-HGB,0.012374534906054887,S-HGB,0.012242409697835292,0.00013212520821959464
pc1_ess0.8,0.5,TO-HGB,0.013055031002712957,S-HGB,0.012501219394068647,0.0005538116086443098
pc1_ess0.5,0.1,DR-HGB,0.011405400532811808,S-HGB,0.011315599839794604,8.980069301720364e-05
pc1_ess0.5,0.3,TO-HGB,0.01451087321191633,S-HGB,0.013993075818459506,0.0005177973934568248
pc1_ess0.5,0.5,TO-HGB,0.015048608481158932,DR-HGB,0.014478378432132673,0.0005702300490262584
