scenario,domain_fit_n_per_class,source_total,target_total,source_infer_n,target_infer_n_r2,source_infer_visit_events,source_infer_treatment_rate,estimated_ratio_mean_source,estimated_ratio_ess,oracle_ratio_ess_unscaled,ratio_log_rmse_vs_oracle,estimated_ratio_p99,estimated_ratio_p999,estimated_ratio_max,oracle_ratio_p999,propensity_p001_source_infer,propensity_p999_source_infer,covariance_min_corr_eigenvalue,oracle_covariance_min_corr_eigenvalue,gaussian_critical,target_adapt_n,target_adapt_treatment_rate,target_adapt_visit_rate,target_adapt_control_events,target_adapt_treated_events,target_infer_n_r3,target_infer_treatment_rate,target_infer_visit_rate,propensity_mean,propensity_p001,propensity_p999,calibration_in_large_abs,max_20bin_calibration_gap,max_weighted_abs_smd,benchmark_corr_min_eigenvalue,benchmark_gaussian_critical,scenario_label
null_ess1.0,1000000,6988034,6991558,3494468,5242952,164467,0.8501405650302135,1.0000046814386168,0.9999873800830276,1.0,0.003554742616332,1.0110130310058594,1.017787829875946,1.027881741523743,1.0,0.8397136926651001,0.8940267399549482,0.0509536687053416,0.0508260901672009,2.5613297196065643,1748606,0.8494343757629395,0.0470128767192363,9996,72211,5242952,0.8500827396474353,0.0469886048928161,0.8494292809696652,0.8407010594010353,0.8940717962980259,0.0006534586777701,0.0037281614878539,0.0033089871238938,0.048222038785596,2.5462819995033645,No shift (ESS=1.0)
pc1_ess0.8,1000000,6992352,6987240,3496541,5240233,252435,0.8515512902608606,0.9997493981691444,0.7990983754362754,0.7988017752455975,0.0149005196832943,1.6814844608306885,1.6914086890220643,1.6920589208602903,1.694125111103058,0.8374155497550965,0.898216779232025,0.0471329055546383,0.0471257823176857,2.522051567899932,1747007,0.8483898639678955,0.0218041483312845,4925,33167,5240233,0.8486578745639746,0.0217406363419336,0.8484022824920413,0.8434337973594666,0.8750874261856079,0.0002555920719332,0.0026811651602598,0.0042004420092848,0.0363169958901871,2.5114359864339884,Moderate shift (ESS≈0.8)
pc1_ess0.5,1000000,6992037,6987555,3495468,5240466,296025,0.8520435604045009,1.0006344837149002,0.4987115812482258,0.4988151692848891,0.3394529687732555,3.4040887331962586,3.4889396798610672,3.49554443359375,3.490150130987166,0.8372393132448196,0.8984774862527845,0.0705878041471479,0.070467188691462,2.6032635291625503,1747089,0.8479773998260498,0.0092302113771438,2063,14063,5240466,0.84816407548489,0.0092329575270596,0.8480782663311239,0.8390177488327026,0.8602618020772934,8.580915376610321e-05,0.0016443524636486,0.0046212195036603,0.0533429740818964,2.5900120327553227,Stronger shift (ESS≈0.5)
