scenario,budget,source_selected_model,point_regret_estimate,upper_regret_bound,lower_regret_bound
null_ess1.0,0.1,TO-HGB,0.000211,0.000451,0.0
null_ess1.0,0.3,TO-HGB,0.000258,0.000584,0.0
null_ess1.0,0.5,TO-HGB,0.000216,0.000526,0.0
pc1_ess0.8,0.1,TO-HGB,0.000074,0.000239,0.0
pc1_ess0.8,0.3,TO-HGB,0.000087,0.000283,0.0
pc1_ess0.8,0.5,TO-HGB,0.000169,0.000351,0.0
pc1_ess0.5,0.1,DR-HGB,0.000129,0.000270,0.0
pc1_ess0.5,0.3,TO-HGB,0.000135,0.000278,0.0
pc1_ess0.5,0.5,TO-HGB,0.000056,0.000150,0.0
