scenario,model,train_score_mean,train_score_std,train_score_p01,train_score_p50,train_score_p99,select_score_mean,select_score_std,train_minutes_scenario_total
null_ess1.0,S-Logit,0.0068533861105907435,0.021287398488761773,-0.0017020037692245939,0.0011945270850943655,0.12291817904446438,0.006844421552488812,0.02127192826382918,1.2899147351582845
null_ess1.0,T-Logit,0.007027087640811326,0.02219454554994664,-0.004939967285607585,0.0014163271005074906,0.12736042869130365,0.007010006693008418,0.022160861216732178,1.2899147351582845
null_ess1.0,S-HGB,0.006188988816424325,0.0214019067320799,-0.0016296899958099381,0.00022215699148451454,0.12172748571000758,0.006177602626088226,0.021368284587616932,1.2899147351582845
null_ess1.0,T-HGB,0.007144584590325599,0.025991105598340822,-0.025011261632027743,0.0003837540081295049,0.1355575009404272,0.007141178322778067,0.025971706839184244,1.2899147351582845
null_ess1.0,TO-HGB,0.01012053107422549,0.042169441142567016,-0.010353309510376617,0.0011181213405394783,0.2201783316581356,0.010085234377042602,0.04185969450561165,1.2899147351582845
null_ess1.0,DR-HGB,0.0071853046709385035,0.023926310068907407,-0.0008124946924729979,0.000767516045285436,0.13441239039814915,0.007166007930742643,0.023831503247132832,1.2899147351582845
pc1_ess0.8,S-Logit,0.011236002642020987,0.029881995058092255,-0.00622942846389729,0.0016355848705402274,0.159840389890855,0.01122802156820932,0.029825715985920608,2.838418463865916
pc1_ess0.8,T-Logit,0.011296871379953931,0.029634246642542314,-0.013578392174029253,0.0021874992518259155,0.15819960094015284,0.011281026592473594,0.029601080475882908,2.838418463865916
pc1_ess0.8,S-HGB,0.010594740767948613,0.029009034506601986,-0.0030302099478519673,0.0004346847463175688,0.15315181513588713,0.010592712788280246,0.028998297899943435,2.838418463865916
pc1_ess0.8,T-HGB,0.011734035193314323,0.03450168336551287,-0.027494305901259505,0.0005469654579891379,0.17388999039279615,0.011754037580109922,0.034524187199353226,2.838418463865916
pc1_ess0.8,TO-HGB,0.01705594072180967,0.05769420628108733,-0.008471975827390135,0.0012021081129032919,0.30939309730939335,0.016987601598568637,0.057314480325204586,2.838418463865916
pc1_ess0.8,DR-HGB,0.01151196139276574,0.03007352481973256,-0.005741290564980372,0.0018631608907002928,0.16438444837868602,0.011485860031760279,0.029991197917173164,2.838418463865916
pc1_ess0.5,S-Logit,0.012544258959935873,0.030888877266244234,-0.007884939522132442,0.0021647227916604082,0.16183721949700014,0.012523771208072163,0.03081158795256184,3.4710882465044657
pc1_ess0.5,T-Logit,0.012670802813304615,0.030569690724617377,-0.016992852986212507,0.002918830927219583,0.1592676172060289,0.012646440668216156,0.03052059617913732,3.4710882465044657
pc1_ess0.5,S-HGB,0.011781109059327308,0.028899552393816422,-0.0014959205155129635,0.0007767467658220638,0.14993456479952602,0.011762590676985523,0.028882895936624565,3.4710882465044657
pc1_ess0.5,T-HGB,0.0130783685069929,0.034950272746882054,-0.026944918907030824,0.0008327347831281803,0.17241860704651016,0.013073920243079882,0.0349434731834111,3.4710882465044657
pc1_ess0.5,TO-HGB,0.01915683269103255,0.06046183204298997,-0.01071586322630441,0.0011105643051365942,0.3229783091031714,0.019071653768484794,0.06010205767607291,3.4710882465044657
pc1_ess0.5,DR-HGB,0.013103672069467692,0.028942214344688567,0.0013329688255355125,0.0029906850208076523,0.15831477494043242,0.0130911690237407,0.028888290799580288,3.4710882465044657
