scenario,budget,source_winner,winner_ipw_gain,runner_up,runner_up_ipw_gain,winner_minus_runner_up
null_ess1.0,0.1,TO-HGB,0.009220555804262443,S-HGB,0.009164160109509779,5.6395694752664136e-05
null_ess1.0,0.3,TO-HGB,0.010427592017326895,S-HGB,0.010159642323352796,0.00026794969397409864
null_ess1.0,0.5,TO-HGB,0.010717987758963737,S-HGB,0.010301613574819703,0.00041637418414403396
pc1_ess0.8,0.1,S-HGB,0.014477924047780519,TO-HGB,0.01445857078420392,1.9353263576599514e-05
pc1_ess0.8,0.3,S-HGB,0.017104358252581497,TO-HGB,0.01691839863299766,0.00018595961958383853
pc1_ess0.8,0.5,TO-HGB,0.017599128643148446,S-HGB,0.01735090200162251,0.00024822664152593724
pc1_ess0.5,0.1,S-HGB,0.015550307755239218,DR-HGB,0.01549145496758445,5.885278765476766e-05
pc1_ess0.5,0.3,TO-HGB,0.019459253860995104,S-HGB,0.01925439010968254,0.00020486375131256382
pc1_ess0.5,0.5,TO-HGB,0.01999425372591394,S-HGB,0.01970139104448902,0.00029286268142492133
